31:{'seed': 42, 'params': {'BATCH_SIZE': 50, 'EPS_DECAY': 200, 'EPS_END': 0.05, 'EPS_START': 0.9, 'GAMMA': 0.99, 'TARGET_UPDATE': 5, 'naction_ending': 5, 'offline_max_remove_data_perc': 0.3, 'offline_max_remove_network': 0, 'reward_penalty': 0.001, 'step_sampling': False}, 'top1': 0.395, 'top2': 0.84}
32:{'seed': 42, 'params': {'BATCH_SIZE': 50, 'EPS_DECAY': 200, 'EPS_END': 0.05, 'EPS_START': 0.9, 'GAMMA': 0.99, 'TARGET_UPDATE': 5, 'naction_ending': 5, 'offline_max_remove_data_perc': 0.3, 'offline_max_remove_network': 0, 'reward_penalty': 0.005, 'step_sampling': True}, 'top1': 0.37, 'top2': 0.795}
33:{'seed': 42, 'params': {'BATCH_SIZE': 50, 'EPS_DECAY': 200, 'EPS_END': 0.05, 'EPS_START': 0.9, 'GAMMA': 0.99, 'TARGET_UPDATE': 5, 'naction_ending': 5, 'offline_max_remove_data_perc': 0.3, 'offline_max_remove_network': 0, 'reward_penalty': 0.005, 'step_sampling': False}, 'top1': 0.325, 'top2': 0.75}
34:{'seed': 42, 'params': {'BATCH_SIZE': 50, 'EPS_DECAY': 200, 'EPS_END': 0.05, 'EPS_START': 0.9, 'GAMMA': 0.99, 'TARGET_UPDATE': 5, 'naction_ending': 5, 'offline_max_remove_data_perc': 0.3, 'offline_max_remove_network': 0, 'reward_penalty': 0.1, 'step_sampling': True}, 'top1': 0.295, 'top2': 0.77}
35:{'seed': 42, 'params': {'BATCH_SIZE': 50, 'EPS_DECAY': 200, 'EPS_END': 0.05, 'EPS_START': 0.9, 'GAMMA': 0.99, 'TARGET_UPDATE': 5, 'naction_ending': 5, 'offline_max_remove_data_perc': 0.3, 'offline_max_remove_network': 0, 'reward_penalty': 0.1, 'step_sampling': False}, 'top1': 0.32, 'top2': 0.785}
36:{'seed': 42, 'params': {'BATCH_SIZE': 50, 'EPS_DECAY': 200, 'EPS_END': 0.05, 'EPS_START': 0.9, 'GAMMA': 0.99, 'TARGET_UPDATE': 5, 'naction_ending': 5, 'offline_max_remove_data_perc': 0.1, 'offline_max_remove_network': 1, 'reward_penalty': 0.001, 'step_sampling': True}, 'top1': 0.195, 'top2': 0.575}
37:{'seed': 42, 'params': {'BATCH_SIZE': 50, 'EPS_DECAY': 200, 'EPS_END': 0.05, 'EPS_START': 0.9, 'GAMMA': 0.99, 'TARGET_UPDATE': 5, 'naction_ending': 5, 'offline_max_remove_data_perc': 0.1, 'offline_max_remove_network': 1, 'reward_penalty': 0.001, 'step_sampling': False}, 'top1': 0.185, 'top2': 0.69}
38:{'seed': 42, 'params': {'BATCH_SIZE': 50, 'EPS_DECAY': 200, 'EPS_END': 0.05, 'EPS_START': 0.9, 'GAMMA': 0.99, 'TARGET_UPDATE': 5, 'naction_ending': 5, 'offline_max_remove_data_perc': 0.1, 'offline_max_remove_network': 1, 'reward_penalty': 0.005, 'step_sampling': True}, 'top1': 0.185, 'top2': 0.625}
40:{'seed': 42, 'params': {'BATCH_SIZE': 50, 'EPS_DECAY': 200, 'EPS_END': 0.05, 'EPS_START': 0.9, 'GAMMA': 0.99, 'TARGET_UPDATE': 5, 'naction_ending': 5, 'offline_max_remove_data_perc': 0.1, 'offline_max_remove_network': 1, 'reward_penalty': 0.1, 'step_sampling': True}, 'top1': 0.17, 'top2': 0.665}
41:{'seed': 42, 'params': {'BATCH_SIZE': 50, 'EPS_DECAY': 200, 'EPS_END': 0.05, 'EPS_START': 0.9, 'GAMMA': 0.99, 'TARGET_UPDATE': 5, 'naction_ending': 5, 'offline_max_remove_data_perc': 0.1, 'offline_max_remove_network': 1, 'reward_penalty': 0.1, 'step_sampling': False}, 'top1': 0.195, 'top2': 0.59}
